feature_name,feature_type
NumberOfPixels,size_feature 
SizeInPixels,size_feature
PhysicalSize,size_feature 
NumberOfPixelsOnBorder,size_feature 
FeretDiameter,size_feature 
PrincipalMoments0,shape_feature 
PrincipalMoments1,shape_feature 
Elongation,shape_feature 
Perimeter,size_feature 
Roundness,shape_feature 
EquivalentSphericalRadius,size_feature 
EquivalentSphericalPerimeter,size_feature 
EquivalentEllipsoidDiameter0,size_feature 
EquivalentEllipsoidDiameter1,size_feature 
Flatness,shape_feature 
MeanR,intensity_feature 
MeanG,intensity_feature 
MeanB,intensity_feature 
StdR,intensity_feature 
StdG,intensity_feature 
StdB,intensity_feature
BoundingBoxTopLeftX,location_feature
BoundingBoxTopLeftY,location_feature 
BoundingBoxBottomRightX,location_feature
BoundingBoxBottomRightY,location_feature 
NucleiProbability,classification_feature
PatchProbability,classification_feature
PatchLabel,classification_feature
PatchClass,classification_feature
PatchId,classification_feature
Polygon,do_not_delete
